timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737042422353,860,Login,200,,Http URL/API Test 1-4,text,true,,1594,419,46,46,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,860,0,198
1737042423214,9,randomPageSize,200,OK,Http URL/API Test 1-4,text,true,,0,0,47,47,null,0,0,0
1737042423238,577,Get List of Containers,200,,Http URL/API Test 1-4,text,true,,457,1335,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/containers?pageNumber=2&pageSize=16&sortKey=createdTime&sortDirection=DESC,577,0,0
1737042422294,1521,Login,200,,Http URL/API Test 1-1,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,1521,0,276
1737042423815,1,randomPageSize,200,OK,Http URL/API Test 1-1,text,true,,0,0,50,50,null,0,0,0
1737042423816,306,Get List of Devices,200,,Http URL/API Test 1-4,text,true,,457,1276,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices?pageNumber=4&pageSize=16&sortKey=createdTime&sortDirection=DESC,306,0,0
1737042422437,1687,Login,200,,Http URL/API Test 1-8,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,1687,0,160
1737042424124,0,randomPageSize,200,OK,Http URL/API Test 1-8,text,true,,0,0,50,50,null,0,0,0
1737042422375,1888,Login,200,,Http URL/API Test 1-5,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,1888,0,201
1737042424263,0,randomPageSize,200,OK,Http URL/API Test 1-5,text,true,,0,0,50,50,null,0,0,0
1737042423217,1113,Login,200,,Http URL/API Test 1-47,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,1113,0,172
1737042424331,0,randomPageSize,200,OK,Http URL/API Test 1-47,text,true,,0,0,50,50,null,0,0,0
1737042422414,1989,Login,200,,Http URL/API Test 1-7,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,1989,0,186
1737042422495,1909,Login,200,,Http URL/API Test 1-11,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,1909,0,164
1737042424404,0,randomPageSize,200,OK,Http URL/API Test 1-7,text,true,,0,0,50,50,null,0,0,0
1737042424404,1,randomPageSize,200,OK,Http URL/API Test 1-11,text,true,,0,0,50,50,null,0,0,0
1737042422395,2026,Login,200,,Http URL/API Test 1-6,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2026,0,187
1737042424421,0,randomPageSize,200,OK,Http URL/API Test 1-6,text,true,,0,0,50,50,null,0,0,0
1737042424123,339,Get List of Regions,200,,Http URL/API Test 1-4,text,true,,458,1105,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/region?lang=en&pageNumber=5&pageSize=16&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,339,0,0
1737042423816,719,Get List of Devices,200,,Http URL/API Test 1-1,text,true,,4940,1275,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices?pageNumber=5&pageSize=8&sortKey=createdTime&sortDirection=DESC,719,0,0
1737042424344,294,Get List of Zones,200,,Http URL/API Test 1-47,text,true,,11537,1154,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/zones?sortKey=status&sortDirection=ASC,294,0,0
1737042422938,1869,Login,200,,Http URL/API Test 1-33,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,1869,0,166
1737042424808,0,randomPageSize,200,OK,Http URL/API Test 1-33,text,true,,0,0,50,50,null,0,0,0
1737042424125,697,Get List of Department,200,,Http URL/API Test 1-8,text,true,,10693,1108,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/department?lang=en&pageNumber=5&pageSize=8&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,697,0,0
1737042424535,288,Search Rule,200,,Http URL/API Test 1-1,text,true,,6252,1093,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/userrules?sortKey=createdTime&keyType=SERVER_ATTRIBUTE&sortDirection=DESC&pageNumber=5&pageSize=8,288,0,0
1737042422678,2148,Login,200,,Http URL/API Test 1-20,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2148,0,157
1737042424826,0,randomPageSize,200,OK,Http URL/API Test 1-20,text,true,,0,0,50,50,null,0,0,0
1737042422754,2077,Login,200,,Http URL/API Test 1-24,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2077,0,173
1737042424831,0,randomPageSize,200,OK,Http URL/API Test 1-24,text,true,,0,0,50,50,null,0,0,0
1737042422334,2504,Login,200,,Http URL/API Test 1-3,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2504,0,224
1737042424838,1,randomPageSize,200,OK,Http URL/API Test 1-3,text,true,,0,0,50,50,null,0,0,0
1737042424421,543,Search Rule,200,,Http URL/API Test 1-6,text,true,,13897,1093,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/userrules?sortKey=createdTime&keyType=SERVER_ATTRIBUTE&sortDirection=DESC&pageNumber=3&pageSize=8,423,0,0
1737042422536,2428,Login,200,,Http URL/API Test 1-13,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2428,0,169
1737042424965,0,randomPageSize,200,OK,Http URL/API Test 1-13,text,true,,0,0,50,50,null,0,0,0
1737042422854,2168,Login,200,,Http URL/API Test 1-29,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2168,0,160
1737042425022,0,randomPageSize,200,OK,Http URL/API Test 1-29,text,true,,0,0,50,50,null,0,0,0
1737042422977,2056,Login,200,,Http URL/API Test 1-35,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2056,0,164
1737042425033,1,randomPageSize,200,OK,Http URL/API Test 1-35,text,true,,0,0,50,50,null,0,0,0
1737042424264,777,Search Users,200,,Http URL/API Test 1-5,text,true,,12561,1089,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/users?pageNumber=1&pageSize=8&sortKey=createdTime&keyType=SERVER_ATTRIBUTE&sortDirection=DESC,700,0,0
1737042423178,1978,Login,200,,Http URL/API Test 1-45,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,1978,0,161
1737042423038,2118,Login,200,,Http URL/API Test 1-38,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2118,0,175
1737042422716,2440,Login,200,,Http URL/API Test 1-22,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2440,0,167
1737042425156,1,randomPageSize,200,OK,Http URL/API Test 1-22,text,true,,0,0,50,50,null,0,0,0
1737042425156,1,randomPageSize,200,OK,Http URL/API Test 1-45,text,true,,0,0,50,50,null,0,0,0
1737042425156,1,randomPageSize,200,OK,Http URL/API Test 1-38,text,true,,0,0,50,50,null,0,0,0
1737042422659,2548,Login,200,,Http URL/API Test 1-19,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2548,0,173
1737042425208,0,randomPageSize,200,OK,Http URL/API Test 1-19,text,true,,0,0,50,50,null,0,0,0
1737042424405,814,Get the List of Alerts,200,,Http URL/API Test 1-11,text,true,,457,1332,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=1&pageSize=8&sortKey=createdTime&sortDirection=DESC&timeZone=Asia%2FRiyadh,814,0,0
1737042424832,388,Get List of Devices,200,,Http URL/API Test 1-24,text,true,,457,1276,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices?pageNumber=1&pageSize=16&sortKey=createdTime&sortDirection=DESC,387,0,0
1737042422619,2607,Login,200,,Http URL/API Test 1-17,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2607,0,161
1737042425228,0,randomPageSize,200,OK,Http URL/API Test 1-17,text,true,,0,0,50,50,null,0,0,0
1737042424405,826,Get List of Cities,200,,Http URL/API Test 1-7,text,true,,6926,1102,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/city?lang=en&pageNumber=5&pageSize=8&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,826,0,0
1737042422554,2680,Login,200,,Http URL/API Test 1-14,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2680,0,165
1737042425235,0,randomPageSize,200,OK,Http URL/API Test 1-14,text,true,,0,0,50,50,null,0,0,0
1737042422798,2448,Login,200,,Http URL/API Test 1-26,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2448,0,170
1737042425246,0,randomPageSize,200,OK,Http URL/API Test 1-26,text,true,,0,0,50,50,null,0,0,0
1737042422878,2608,Login,200,,Http URL/API Test 1-30,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2608,0,168
1737042425486,0,randomPageSize,200,OK,Http URL/API Test 1-30,text,true,,0,0,50,50,null,0,0,0
1737042423253,2234,Login,200,,Http URL/API Test 1-49,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2234,0,157
1737042423054,2433,Login,200,,Http URL/API Test 1-39,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2433,0,171
1737042423136,2351,Login,200,,Http URL/API Test 1-43,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2351,0,166
1737042422315,3172,Login,200,,Http URL/API Test 1-2,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,3172,0,268
1737042423074,2413,Login,200,,Http URL/API Test 1-40,text,true,,1594,419,50,50,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/auth/login,2413,0,172
1737042425487,0,randomPageSize,200,OK,Http URL/API Test 1-39,text,true,,0,0,50,50,null,0,0,0
1737042425487,0,randomPageSize,200,OK,Http URL/API Test 1-43,text,true,,0,0,50,50,null,0,0,0
1737042425487,0,randomPageSize,200,OK,Http URL/API Test 1-49,text,true,,0,0,50,50,null,0,0,0
1737042425487,0,randomPageSize,200,OK,Http URL/API Test 1-2,text,true,,0,0,50,50,null,0,0,0
1737042425487,0,randomPageSize,200,OK,Http URL/API Test 1-40,text,true,,0,0,50,50,null,0,0,0
